Name,Group,Profile,Enabled,Action,Override,Program,Local Address,Remote Address,Protocol,Local Port,Remote Port,Authorized Computers,Authorized Local Principals,Local User Owner,PolicyAppId,Application Package,
@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar},@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.XboxGamingOverlay_8wekyb3d8bbwe,
@{MicrosoftWindows.56978801.Voiess_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.56978801.Voiess/Resources/ProductPkgDisplayName},@{MicrosoftWindows.56978801.Voiess_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.56978801.Voiess/Resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.56978801.Voiess_cw5n1h2txyewy,
@{MicrosoftWindows.57058570.Speion_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57058570.Speion/Resources/ProductPkgDisplayName},@{MicrosoftWindows.57058570.Speion_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57058570.Speion/Resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.57058570.Speion_cw5n1h2txyewy,
@{MicrosoftWindows.57074904.InpApp_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074904.InpApp/Resources/ProductPkgDisplayName},@{MicrosoftWindows.57074904.InpApp_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074904.InpApp/Resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.57074904.InpApp_cw5n1h2txyewy,
@{MicrosoftWindows.57074914.Livtop_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074914.Livtop/Resources/ProductPkgDisplayName},@{MicrosoftWindows.57074914.Livtop_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074914.Livtop/Resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.57074914.Livtop_cw5n1h2txyewy,
@{MicrosoftWindows.Client.AIX_1000.26100.29.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.AIX/resources/ProductPkgDisplayName},@{MicrosoftWindows.Client.AIX_1000.26100.29.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.AIX/resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.Client.AIX_cw5n1h2txyewy,
@{MicrosoftWindows.LKG.AccountsService_1000.26100.1742.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/resources/ProductPkgDisplayName},@{MicrosoftWindows.LKG.AccountsService_1000.26100.1742.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.LKG.AccountsService_cw5n1h2txyewy,
@{MicrosoftWindows.LKG.IrisService_1000.26100.1742.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.IrisService/resources/ProductPkgDisplayName},@{MicrosoftWindows.LKG.IrisService_1000.26100.1742.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.IrisService/resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.LKG.IrisService_cw5n1h2txyewy,
@{MicrosoftWindows.LKG.Search_1000.26100.1742.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.Search/Resources/ProductPkgDisplayName},@{MicrosoftWindows.LKG.Search_1000.26100.1742.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.Search/Resources/ProductPkgDisplayName},All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.LKG.Search_cw5n1h2txyewy,
ms-resource:AppDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},All,Yes,Allow,No,C:\Program Files\WindowsApps\B9ECED6F.ASUSPCAssistant_4.0.49.0_x64__qmba6cd70vzyy\MyASUS\AsusMyASUS.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
